Num;Décision;Mention;DICT;QSION;RDACT;MATHS;HGEO;ANGL;SVT;SCPHY;ECM;EPS;DS_EN;LGFAC;Tot;sexe;age;etablissement
205313;AJ;;0;5;7;7;8;12;11;6;11;13;;6;132;F;17;CPL LE GUIDE
205314;AJ;;0;4;8;4;6;5;13;6;10;15;12;;115;F;18;CS LA REUSSITE
205315;AJ;;7;10;8;4;7;10;11;10;12;11;;11;143;M;15;LYCEE VO-KOUTIME
205316;ADM;PASS;0;7;8;8;15;10;13;12;10;13;;15;167;M;19;LYCEE VO-KOUTIME
205317;AJ;;0;8;7;6;14;8;12;7;12;12;15;;147;M;16;CS LE CADRE DES ELITES
205318;ADM;PASS;0;11;9;6;18;7;17;8;15;15;;0;176;F;17;COLLEGE CATHOLIQUE MINYANU 2 - VOGAN
205319;AJ;;0;6;8;5;10;7;9;5;10;14;;15;123;F;17;COLLEGE CATHOLIQUE MINYANU 2 - VOGAN
205320;AJ;;0;7;8;8;14;7;13;7;10;14;11;;146;F;16;CS LA REUSSITE
205321;ADM;PASS;1;11;11;7;10;14;11;8;11;12;;12;160;F;16;CPL LE GUIDE
205322;ADM;PASS;10;5;9;9;16;7;13;12;8;13;;7;166;M;14;CEG VOGAN VILLE I
205323;ADM;PASS;1;6;11;7;14;8;16;12;12;13;11;;171;M;17;CEG VOGAN VILLE I
205324;AJ;;0;2;8;2;12;6;14;6;8;14;;2;118;M;16;LYCEE VO-KOUTIME
205325;AJ;;0;5;10;6;10;6;8;5;11;13;;7;120;M;21;CEG VOGAN VILLE I
205326;ADM;PASS;0;4;8;10;14;11;14;14;10;15;;13;174;F;18;LYCEE VO-KOUTIME
205327;ADM;ABIEN;0;15;13;13;16;8;18;14;15;14;14;;217;F;13;CS LA REUSSITE
205328;AJ;;0;7;8;5;12;7;11;10;12;13;;8;140;M;19;CEG VOGAN VILLE I
205329;ADM;PASS;0;7;9;9;16;10;16;13;15;12;13;;188;M;16;CS LA REUSSITE
205330;ADM;ABIEN;16;13;9;8;17;9;17;17;14;11;;11;213;M;14;CEG VOGAN VILLE I
205331;AJ;;2;4;9;3;13;8;15;4;9;13;;13;134;M;22;CEG VOGAN VILLE I
205332;AJ;;0;5;8;9;14;4;10;9;12;15;;16;147;M;17;CEG VOGAN VILLE I
205333;AJ;;0;5;9;9;14;4;9;8;13;15;;10;142;F;24;CEG VOGAN VILLE I
205334;AJ;;0;6;12;4;14;7;12;10;10;12;15;;151;M;20;CS LE CADRE DES ELITES
205335;ADM;PASS;1;9;11;6;13;7;13;12;11;15;;10;161;M;16;CEG VOGAN VILLE I
205336;AJ;;0;6;10;2;11;10;12;6;10;13;;15;136;M;17;LYCEE VO-KOUTIME
205337;AJ;;3;6;8;5;12;10;12;6;10;11;;12;138;M;18;LYCEE VO-KOUTIME
205338;AJ;;0;4;7;5;9;8;12;6;8;11;;10;115;M;18;CEG VOGAN VILLE I
205339;AJ;;0;2;8;3;12;11;12;7;10;10;;8;128;M;17;LYCEE VO-KOUTIME
205340;AJ;;0;2;9;2;10;10;13;6;9;14;;4;124;F;18;LYCEE VO-KOUTIME
205341;AJ;;0;2;8;6;10;6;10;7;8;13;;8;115;M;17;LYCEE VO-KOUTIME
205342;AJ;;0;4;8;7;12;7;7;7;11;10;;16;127;M;23;LYCEE VO-KOUTIME
205343;AJ;;0;4;10;4;14;8;15;6;10;14;11;;143;F;16;CS LE CADRE DES ELITES
205344;AJ;;0;1;7;3;7;7;10;2;5;12;;3;85;M;17;LYCEE VO-KOUTIME
205345;AJ;;0;5;10;6;16;7;12;8;11;15;;7;150;M;18;COLLEGE CATHOLIQUE MINYANU 2 - VOGAN
205346;AJ;;0;6;9;4;14;6;12;5;14;12;;17;141;M;22;CS LE CADRE DES ELITES
205347;ADM;PASS;1;10;10;4;18;13;14;11;14;12;;14;185;M;17;CEG KPOTA-KOUTIME
