Num;Décision;Mention;DICT;QSION;RDACT;MATHS;HGEO;ANGL;SVT;SCPHY;ECM;EPS;DS_EN;LGFAC;Tot;sexe;age;etablissement
405838;ADM;PASS;12;8;12;13;13;12;14;4;9;15;14;;183;F;15;CEG KOFFITI
405839;ADM;ABIEN;5;10;12;9;19;15;16;6;16;15;12;;208;F;15;LYCEE LANGABOU
405840;ADM;PASS;1;7;14;6;13;9;14;2;14;14;14;;160;M;16;CEG KOFFITI
405841;ADM;PASS;1;4;12;13;10;11;13;8;9;10;13;;160;M;12;CEG KOFFITI
405842;AJ;;0;1;10;5;13;8;13;3;10;15;13;;133;M;16;CEG KOFFITI
405843;AJ;;0;4;12;7;11;9;8;2;10;10;14;;126;M;16;CEG ATIKPAÏ
405844;AJ;;0;2;9;7;15;8;15;5;13;10;15;;151;M;17;LYCEE LANGABOU
405845;AJ;;0;3;9;7;9;6;11;3;10;15;6;;118;M;18;CEG KOFFITI
405846;AJ;;1;4;10;6;5;12;10;1;6;13;7;;108;M;18;CEG KOFFITI
405847;ADM;ABIEN;2;6;14;5;18;12;17;11;14;10;14;;194;M;14;CEG ATIKPAÏ
405848;AJ;;12;4;10;4;12;9;10;4;13;15;9;;145;F;18;LYCEE LANGABOU
405849;ADM;TBIEN;18;16;12;14;18;14;19;19;18;11;16;;268;M;17;LYCEE LANGABOU
405850;ADM;PASS;9;7;11;7;16;16;14;6;11;15;14;;187;M;19;LYCEE LANGABOU
405851;ADM;PASS;13;8;11;9;13;10;14;4;7;0;14;;161;M;16;CEG ATIKPAÏ
405852;ADM;PASS;7;12;10;9;15;10;15;8;13;11;13;;183;M;16;CEG KOFFITI
405863;ADM;PASS;0;12;11;4;19;6;18;10;18;10;;17;189;M;15;CEG KPANDIYO
405864;ADM;PASS;0;13;11;11;18;7;15;6;15;13;;14;186;F;14;CEG KPANDIYO
405865;ADM;PASS;0;11;14;5;18;8;13;7;16;10;;15;178;F;14;CEG KPANDIYO
405866;ADM;PASS;3;14;11;7;16;7;9;4;15;11;;18;161;F;14;CEG KPANDIYO
405867;ADM;PASS;1;9;10;3;14;12;14;4;15;13;13;;160;M;18;CEG KPANDIYO
405868;AJ;;6;5;11;3;11;8;8;5;11;11;13;;129;F;14;CEG KPANDIYO
405869;AJ;;0;10;11;5;14;7;10;6;12;13;;16;148;F;17;CEG KPANDIYO
405870;ADM;PASS;0;7;11;7;17;7;14;5;12;13;;16;161;M;18;CEG KPANDIYO
405871;AJ;;0;10;12;5;17;8;9;4;11;0;13;11;146;F;15;CEG KPANDIYO
405872;AJ;;0;8;11;3;9;4;5;3;11;14;;14;108;F;18;CEG KPANDIYO
405873;ADM;PASS;1;11;13;9;13;5;10;5;15;15;;14;161;F;20;CEG KPANDIYO
405874;ADM;PASS;2;18;12;10;15;9;9;11;15;10;15;;187;F;13;CPL LE PARISIEN
405875;ADM;ABIEN;2;16;13;8;17;9;15;11;17;15;;15;208;M;17;CEG KPANDIYO
405876;ADM;PASS;6;11;14;4;17;10;13;5;12;10;;14;171;F;15;CEG KPANDIYO
405877;ADM;PASS;1;8;11;3;16;9;11;10;13;12;;13;160;F;16;CEG KPANDIYO
405878;ADM;PASS;0;10;11;6;19;5;15;7;12;11;;15;166;M;16;CEG KPANDIYO
405879;ADM;ABIEN;11;13;16;7;19;11;15;9;14;11;15;;212;F;13;CPL LE PARISIEN
405880;AJ;;0;5;12;4;10;5;6;4;15;13;;11;121;F;17;CEG KPANDIYO
405881;ADM;ABIEN;0;14;12;12;16;9;16;10;18;13;;16;208;F;15;CEG KPANDIYO
405882;ADM;ABIEN;0;10;11;6;20;7;18;8;17;15;;14;193;M;21;CEG KPANDIYO
405883;ADM;ABIEN;0;16;13;8;19;8;19;12;17;10;;14;212;M;16;CEG KPANDIYO
405884;ADM;PASS;0;12;12;6;16;7;16;4;17;11;16;;174;F;16;CEG KPANDIYO
405885;ADM;PASS;0;11;13;7;19;8;12;9;17;0;14;13;188;F;18;CEG KPANDIYO
405886;AJ;;0;5;13;3;11;3;11;7;15;12;;11;134;M;21;CEG KPANDIYO
405887;ADM;PASS;1;7;12;7;17;7;13;4;13;12;;14;160;F;20;CEG KPANDIYO
405888;ADM;PASS;0;10;12;7;14;11;11;10;17;15;;15;184;F;15;CEG KPANDIYO
405889;ADM;ABIEN;0;10;12;10;20;9;16;10;15;11;13;;198;F;23;CEG KPANDIYO
405890;AJ;;0;4;10;3;14;6;10;7;16;15;;5;141;M;17;CEG KPANDIYO
405891;ADM;PASS;1;6;11;7;16;7;9;7;18;12;;11;160;F;16;CEG KPANDIYO
405892;ADM;PASS;1;5;11;7;18;6;11;6;17;10;;13;161;F;16;CEG KPANDIYO
