Num;Décision;Mention;DICT;QSION;RDACT;MATHS;HGEO;ANGL;SVT;SCPHY;ECM;EPS;DS_EN;LGFAC;Tot;sexe;age;etablissement
610466;AJ;;0;8;7;5;12;10;12;2;11;15;14;;135;M;18;CPL DON BOSCO
610467;AJ;;0;9;7;7;15;9;10;6;12;15;13;;149;M;16;CPL J J ROUSSEAUX-CINKASSE
610468;ADM;PASS;0;7;7;10;17;11;14;10;12;14;15;;178;M;20;LYCEE DE CINKASSE
610469;AJ;;4;8;9;4;11;10;14;6;4;13;17;;136;M;20;LYCEE DE CINKASSE
610470;AJ;;0;4;7;3;8;9;9;5;9;14;17;;113;F;17;COLLEGE PRIVE BANGRE
610471;ADM;PASS;0;10;8;6;15;14;13;10;15;15;16;;182;M;18;CPL LA RELEVE
610472;ADM;ABIEN;0;10;8;8;16;12;19;8;17;14;16;;195;M;20;COLLEGE PRIVE BANGRE
610473;ADM;PASS;0;13;9;6;15;12;14;6;15;15;17;;177;M;19;CPL BANGRE II
610474;AJ;;1;8;8;2;8;8;7;2;9;0;11;;98;F;18;CPL J J ROUSSEAUX-CINKASSE
610475;ADM;PASS;7;7;10;6;16;13;15;8;13;12;15;;183;F;16;LYCEE DE CINKASSE
610476;AJ;;0;7;9;5;8;10;10;6;10;12;11;;126;F;15;LYCEE DE CINKASSE
610477;ADM;PASS;0;9;10;6;18;14;13;9;10;13;18;;177;M;16;CPL LA RELEVE
610478;AJ;;0;5;7;6;9;10;15;5;12;15;14;;142;F;18;LYCEE DE CINKASSE
